community,treatment,P_time,V_time,rep,dilution,P,V,V_prop,P_prop,P_density,V_density,productivity
VA8PA8,Mono,6 weeks,6 weeks,5,5,19,13,0.40625,0.59375,54285714.29,37142857.14,32
VA5PA5,Mono,6 weeks,6 weeks,2,5,25,17,0.404761905,0.595238095,71428571.43,48571428.57,42
VaPA8,Mono,6 weeks,ancestor,5,5,25,17,0.404761905,0.595238095,71428571.43,48571428.57,42
VB3PA2,Mono,6 weeks,10 weeks,1,5,21,14,0.4,0.6,60000000,40000000,35
PaVB6,Mono,ancestor,10 weeks,3,5,20,13,0.393939394,0.606060606,57142857.14,37142857.14,33
PaVa7,ancestor,ancestor,ancestor,15,5,17,11,0.392857143,0.607142857,48571428.57,31428571.43,28
PaVC1,Coculture,ancestor,6 weeks,1,5,21,13,0.382352941,0.617647059,60000000,37142857.14,34
VB8PA8,Mono,6 weeks,10 weeks,5,5,21,12,0.363636364,0.636363636,60000000,34285714.29,33
VaPB8,Mono,10 weeks,ancestor,5,5,37,20,0.350877193,0.649122807,105714285.7,57142857.14,57
VaPA2,Mono,6 weeks,ancestor,1,5,28,15,0.348837209,0.651162791,80000000,42857142.86,43
VC4PC4,Coculture,6 weeks,6 weeks,4,5,32,17,0.346938776,0.653061224,91428571.43,48571428.57,49
VaPC1,Coculture,6 weeks,ancestor,1,5,21,11,0.34375,0.65625,60000000,31428571.43,32
VA7PA7,Mono,6 weeks,6 weeks,4,5,23,12,0.342857143,0.657142857,65714285.71,34285714.29,35
VB5PA5,Mono,6 weeks,10 weeks,2,5,40,20,0.333333333,0.666666667,114285714.3,57142857.14,60
PaVa5,ancestor,ancestor,ancestor,13,5,27,13,0.325,0.675,77142857.14,37142857.14,40
VA3PA2,Mono,6 weeks,6 weeks,1,5,22,10,0.3125,0.6875,62857142.86,28571428.57,32
PaVF1,Community,ancestor,10 weeks,1,5,16,7,0.304347826,0.695652174,45714285.71,20000000,23
VC1PD1,Coculture,10 weeks,6 weeks,1,5,29,11,0.275,0.725,82857142.86,31428571.43,40
PaVa1,ancestor,ancestor,ancestor,9,5,12,4,0.25,0.75,34285714.29,11428571.43,16
PaVE5,Community,ancestor,6 weeks,5,5,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
VaPE4,Community,6 weeks,ancestor,4,5,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
VaPE7,Community,6 weeks,ancestor,7,5,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
VaPF4,Community,10 weeks,ancestor,4,5,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
VE4PE4,Community,6 weeks,6 weeks,4,5,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
VE5PE5,Community,6 weeks,6 weeks,5,5,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
VE7PE7,Community,6 weeks,6 weeks,7,5,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
VE4PF4,Community,10 weeks,6 weeks,4,5,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
VE5PF5,Community,10 weeks,6 weeks,5,5,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
VF4PE4,Community,6 weeks,10 weeks,4,5,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
VF7PE7,Community,6 weeks,10 weeks,7,5,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
VF4PF4,Community,10 weeks,10 weeks,4,5,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
